管理番号,作家,間口,奥行,高さ,タイトル,価格,本文,"本文
文字数",,,,
3-21-174,清水久遊作,70,38,38,"有職びな帯上親王飾りセット一式
※名入れ旗と観葉植物は付きません。","328,900",白地に青海波文様のお雛様です。青海波文様とは、同心円の一部が扇状に重なり合った幾何学的な連続模様で、穏やかな波が無限に続く様子を表し、未来永劫続く幸せや平穏な暮らしを願う縁起の良い文様です。お子様の幸せを願って末永くお飾りください。,116,,,,
3-21-301,清水久遊作,85,45,36,"有職びな縫取りちりめん親王飾りセット一式
※横浜店のみ展示","335,500",手間、技術が通常の織物以上にかかるため、生産量が少なく貴重な存在である縫取りちりめん。糸には特殊装飾用金銀糸を使用しています。そのため着物の中では最上位に位置されています。柔らかな風合いと深みのある色、絵画のような衣裳の豪華さが特徴です。,119,,,,
3-22-159,小出松寿作,50,30,27,"衣裳着親王飾りセット一式
※名前旗は別売になります。観葉植物は付きません。","212,300",紫地に雲に鶴の文様をあしらったお殿様は人気が高く、コンパクトサイズでありながら上質なつくりが見るものを魅了します。シンプルですが繊維状に波打つような金屏風も好評をいただいております。小さくても手を抜かない小出松寿の作風には感心させられます。,120,,,,
3-22-219,小出松寿作,60,33,30,衣裳着親王飾りセット一式,"234,300",紫の桐竹鳳凰柄のお殿様と花柄の可愛いお姫様です。紫は高貴な色合いで現代でも人気が高く金屏風との相性も抜群です。女流作家、小出松寿の作品は見るものを魅了します。細部まで手を抜かない洗練されたつくりが人気の所以です。,106,,,,
3-22-082,小出松寿作,50,30,27,衣裳着黄櫨染親王飾りセット一式,"234,300",天皇陛下がご即位の際にお召しになられたものが黄櫨染御袍です。真昼の太陽を象徴したものという説があり、黄櫨染は天皇陛下以外は着用できない禁色となったと考えられます。その高貴な衣裳を小出松寿が丁寧に製作しました。,104,,,,
3-22-200,小出松寿作,60,30,30,衣裳着親王飾りセット一式,"235,400",紺地のお殿様に赤に丸紋柄のお雛様。昔ながらの人気の組み合わせでこれぞお雛様と呼ぶに相応しいお衣裳です。今回セットした新作の木目を活かした屏風と飾り台がお人形の素晴らしさを更に引き立てています。琵琶と琴の前飾りがワンポイントです。,114,,,,
3-22-077,小出松寿作,50,30,29,"衣裳着京刺繍親王飾りセット一式
※名入れ旗と観葉植物は付きません。","237,600",この衣裳に施されている刺繍は刺繍針に通せないような太い金糸や銀糸を「駒」（木製の糸巻き）に巻き、生地に当てて転がしながら、細い綴じ糸でそれを留めていく金駒刺繍です。着物などの生地にボリューム感のある立体的な輝きと高級感を与え、華やかに彩ります。﻿,123,,,,
3-22-229,小出松寿作,50,30,49,"衣裳着親王収納飾りセット一式
収納","240,900",雲立涌文様の衣裳は運気が上昇するといわれ、とても縁起がいいとされています。木目を活かした屏風と収納飾り台には上品な松葉が描かれ、前飾りの貝桶には螺鈿細工が施されています。両サイドに置かれたアイボリーとベージュの花飾りが現代的な印象を与えてくれます。,124,,,,
3-22-181,小出松寿作,50,27,23,衣裳着京刺繍親王飾りセット一式,"246,400",高級感漂う松竹梅の京刺繍が施されています。小出松寿のお殿様は胸元の重なる部分の柄が合うようにする絵羽合せが特徴です。ナチュラルテイストの木目調飾り台とモダンな柄の屏風が特徴です。,89,,,,
3-22-065,小出松寿作,55,35,54,"衣裳着親王収納飾りセット一式
※つるし飾りと名前札は別売になります。
収納","246,400",小出松寿の胴体は防虫効果のある樟をはさんだ桐木胴を使用しています。また中心に藺草（いぐさ）を使い安定感のある太串の頭に対応しています。さらに胴の肩部分には針金を埋め込み型崩れを防止する設計になっています。白木の収納箱と屏風には縁起の良いとされる七宝文様がデザインされています。,138,,,,
3-22-062,小出松寿作,70,40,36,衣裳着親王飾りセット一式,"255,200",小出松寿のお雛様は優雅さと気品を兼ね備えた極上の逸品です。紫のお殿様に赤いお姫様には丸紋の古典文様が連なっています。「絵羽（えば）あわせ」といってお殿様の胸元の柄を型で合わせて裁断し縫製しているのでできあがりの装束の美しさを効果的に演出することができます。,128,,,,
3-22-090,小出松寿作,60,33,30,衣裳着親王飾りセット一式,"250,800",お殿様とお姫様の衣裳は共柄の色違いになっています。花柄の手刺繍を施した屏風にはＬＥＤの間接照明が仕込まれていてモダンテイストが人気です。屏風と飾り台は木目調になっているためモダンなリビングにも合わせやすいセットです。,108,,,,
3-22-228,小出松寿作,50,31,49,"衣裳着金彩京刺繍親王収納飾りセット一式
※つるし飾りと名前札は別売になります。
収納","251,900",コンパクトサイズですが金彩京刺繍を施した絢爛豪華なお雛様です。贅沢に加工を施した衣裳は強烈なインパクトがあります。前飾りにはカップに入ったかわいらしいウサギをセットしました。収納箱が付いているので片づける際も１個にまとまるのでとても便利です。,121,,,,
3-22-218,小出松寿作,60,38,27,"衣裳着令和即位雛親王飾りセット一式
高級会津塗り","260,700",品質の高さが自慢の会津塗りの飾り台とうさぎの蒔絵が可愛い屏風を小出松寿が手掛けた令和即位雛に組み合わせました。両サイドに添えられた紅白梅は蚕の繭を原料にしてつくられた高級品です。前飾りとして置かれた貝桶はシンプルでありながらバランスの取れた存在になっています。,130,,,,
3-22-212,小出松寿作,70,40,36,衣裳着親王飾りセット一式,"268,400",春の息吹を感じさせてくれる若草色とピンクの衣裳がかわいらしいお雛様です。金沢箔屏風は高級感漂います。前飾りには本金蒔絵を施した貝桶が付き、両サイドに配置された花は高級繭玉紅白梅がセットされています。行灯の灯りがお人形を優しく照らしてくれます。,121,,,,
3-22-153,小出松寿作,60,33,30,"衣裳着京刺繍親王飾りセット一式
※羽子板と観葉植物は付きません。","272,800",クリーム色のお殿様とピンクのお姫様にはとっても豪華な刺繍が施され、そこにラインストーンが散りばめられています。間接照明が綺麗な屏風がお人形を優しく包みます。前飾りにはかわいらしいウサギを配置した人気のシリーズです。,107,,,,
